id,created_at,text
1095524708160688128,2019-02-13 03:26:58,b'Best of luck @PillaiMridula https://t.co/zbyUm8ShE4'
1093913782462615554,2019-02-08 16:45:44,b'Bet someone is behind https://t.co/3KlchEguqT'
1092957841155977216,2019-02-06 01:27:10,b'#Xiaomi Poco F1 is my favourite.. if I would wish to get some phone that would be POCO F1 https://t.co/fII8UUxJY5'
1086116228228366337,2019-01-18 04:21:02,b'@NianticHelp When will it come to the rest of countries?? Preferably India?'
1084990622099038208,2019-01-15 01:48:17,b'@Twitter Why do you need to go now?'
1072101776063643649,2018-12-10 12:12:36,b'Interested https://t.co/ZigLXrkbbF'
1063456632028504064,2018-11-16 15:39:53,"b'RT @balagopalks: Finally the much awaited Jio Fiber is here in Trivandrum, launched today ! @WeAreTrivandrum https://t.co/LYICbDMWtY'"
1062024213077389312,2018-11-12 16:47:58,"b'RT @PillaiMridula: Ok Google, Talk to Grace Hopper Celebration India!!! https://t.co/4cq5VR3ozT'"
1055089098208264192,2018-10-24 13:30:18,"b'RT @PillaiMridula: Hey Guys, \nPlease find my fundraiser. I am raising funds to attend the GHCI 2018 conference. Expecting all your small co\xe2\x80\xa6'"
1055088023031943168,2018-10-24 13:26:01,"b'RT @PillaiMridula: Help me conquer my dream, GHCI 2018. - Ketto https://t.co/dXRf0GIllM via @ketto'"
1054697530485809152,2018-10-23 11:34:21,b'RT @HiHonorIndia: \xe2\x9d\xa4 &amp; RT this contest tweet NOW &amp; we will give away a #Honor9N &amp; #HonorPlay for every 1K RT &amp; 5K Likes! \nGet started fans!\xe2\x80\xa6'
1054697367574863872,2018-10-23 11:33:42,"b'RT @sundarpichai: Happy 10th birthday @Android! Many thanks to all of our users, developers and partners around the world! #HBDAndroid http\xe2\x80\xa6'"
1054166677838012416,2018-10-22 00:24:56,b'@PokemonGoApp #PokemonGOCommunityDay https://t.co/P83dZY64I9'
1049290563198099457,2018-10-08 13:28:59,b'RT @100IVPokeLand: \xf0\x9f\x94\xa5LEVEL 30 ACCOUNT GIVEAWAY !!\xf0\x9f\x94\xa5\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbdRESTED ACCOUNT !! SAFE\n\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbdPTC\n\xe2\x98\x91\xef\xb8\x8fNO SELECTED TEAM \n\xe2\x9c\xa8CHANGE NICKNAME\n\xe2\x98\xa0\xef\xb8\x8fSTEPS TO ENTER GIVE\xe2\x80\xa6'
1047339104231460864,2018-10-03 04:14:35,b'RT @balagopalks: @NianticLabs @PokemonGoApp What a beautiful day with #Deoxys #Trivandrum! #Gotcha #Instinct ! @johnhanke @MikeQuigley @arc\xe2\x80\xa6'
1046784226157350912,2018-10-01 15:29:42,b'Got my Not Approved.. Sorry for the delay... It was only reviewed today.\n\n#AoGDevs\n#AoGatGHC\n\nhttps://t.co/fz4eVN6RLr'
1043199646355664897,2018-09-21 18:05:52,b'@NianticHelp Is it possible that only triggered gyms get the tag? \nNon triggered gyms can also get the tag right?'
999691253947273216,2018-05-24 16:39:02,b'@samsalphie Onnu compare cheyth nook ichre similarity okke toonum birds aanenu onnu vichricha madi'
999690578324541442,2018-05-24 16:36:21,b'@samsalphie Crickets de sound ninak birds de chirp aayit toonuna aarikum'
999627894178697216,2018-05-24 12:27:16,b'@samsalphie Hehehehehe........ Variety kk avar onnu karanjath aavam...'
999621632988770304,2018-05-24 12:02:24,b'@samsalphie Ad nink game kalichitt kili adich poyakonda!! \xf0\x9f\x98\x8e'
998537277906341888,2018-05-21 12:13:33,b'@samsalphie Feeling the same avasta after Ella examum teernapo'
998535984433287169,2018-05-21 12:08:25,b'@samsalphie Avasta manasilavum eda!! Freaking study leaves !!\xf0\x9f\xa4\xa2'
998512816939290624,2018-05-21 10:36:21,b'@samsalphie Maths exam aana Aliya?'
995762008124542976,2018-05-13 20:25:37,b'@samsalphie Actually the reason for my upgrade was never the hate for a Lumia Phone it was more or less a need as a\xe2\x80\xa6 https://t.co/jWuPD8MdIo'
995667630815051776,2018-05-13 14:10:36,b'@samsalphie Remembering those days when I choose a Lumia over many phones and Microsoft had many features but faile\xe2\x80\xa6 https://t.co/Cek9xVWPwd'
988792256365780993,2018-04-24 14:50:19,"b'RT @samsalphie: Pay more attention to Indian women, IMF chief Christine Lagarde tells Narendra Modi https://t.co/LnAqmLtP5e via @scroll_in'"
967485330038419456,2018-02-24 19:44:12,"b'@PokemonGoApp Pokemon GO Trivandrum,Kerala Community..#PokemonGOCommunityDay https://t.co/ItVgJSMGNg'"
967429700221009927,2018-02-24 16:03:09,b'#PokemonGOCommunityDay #TrivdandrumPoGO https://t.co/jLnDJuhMcx'
939553362533478400,2017-12-09 17:52:32,"b'RT @BulwarkCoin: The first #Bulwark masternodes have appeared on the network! Would you like one too? Like, Follow, Retweet and we will cho\xe2\x80\xa6'"
536332975411965952,2014-11-23 01:38:40,b'@edwinvw2025 hai buddy'
517355401893793792,2014-10-01 16:48:34,b'RT @edwinvw2025: @akhil17595 hai'
